Country,2022,2021,2020,2019,2018
Bahamas,"$12,897,400,000","$11,527,600,000","$9,754,600,000","$13,058,700,000","$12,653,600,000"
Chad,"$12,704,149,842","$11,779,981,332","$10,715,396,051","$11,314,951,088","$11,239,167,890"
Namibia,"$12,607,436,976","$12,446,290,855","$10,583,748,757","$12,541,928,103","$13,682,019,172"
Equatorial Guinea,"$11,813,908,448","$12,269,393,392","$10,099,157,996","$11,364,133,546","$13,097,012,124"
Kyrgyz Republic,"$10,930,644,915","$8,740,681,889","$7,780,873,259","$8,871,019,823","$8,271,106,196"
Tajikistan,"$10,492,123,388","$8,937,805,347","$8,133,963,813","$8,300,813,890","$7,765,000,282"
Mauritania,"$10,375,460,680","$9,996,240,419","$8,405,498,736","$8,066,118,984","$7,473,550,557"
Kosovo,"$9,429,156,202","$9,412,034,299","$7,717,143,395","$7,899,741,279","$7,878,762,812"
Togo,"$8,126,439,481","$8,334,047,486","$7,389,329,393","$6,992,656,429","$7,029,217,932"
Somalia,"$8,126,105,600","$7,628,000,011","$6,883,000,000","$6,485,000,000","$5,856,000,006"
Bermuda,"$7,550,500,000","$7,127,200,000","$6,887,147,000","$7,423,465,000","$7,225,977,000"
Maldives,"$6,189,865,408","$5,405,557,162","$3,746,329,358","$5,609,385,434","$5,300,949,823"
Montenegro,"$6,095,978,868","$5,861,430,526","$4,769,995,512","$5,542,053,845","$5,506,944,403"
Barbados,"$5,637,914,515","$4,843,800,000","$4,671,800,000","$5,324,250,000","$5,097,283,200"
Fiji,"$4,943,248,200","$4,296,235,428","$4,477,030,180","$5,481,692,622","$5,581,425,891"
Eswatini,"$4,854,167,638","$4,748,702,401","$3,982,236,726","$4,466,214,522","$4,666,598,024"
Liberia,"$4,001,047,150","$3,509,000,000","$3,039,982,500","$3,319,596,500","$3,422,754,800"
Sierra Leone,"$3,970,343,852","$4,249,234,574","$4,062,906,364","$4,076,578,654","$4,085,114,542"
Suriname,"$3,620,655,116","$2,984,706,244","$2,911,807,496","$4,016,040,575","$3,996,198,760"
Djibouti,"$3,515,109,075","$3,372,287,462","$3,181,071,154","$3,088,853,639","$2,913,466,732"
Andorra,"$3,352,032,737","$3,325,145,407","$2,891,001,149","$3,155,149,348","$3,218,419,897"
Timor-Leste,"$3,163,324,631","$3,621,222,400","$2,158,392,500","$2,028,551,600","$1,563,887,900"
Burundi,"$3,073,414,678","$2,775,798,697","$2,649,680,261","$2,576,518,879","$2,667,182,199"
Belize,"$2,824,081,836","$2,491,500,000","$2,080,000,000","$2,416,500,000","$2,315,000,000"
Lesotho,"$2,553,459,763","$2,373,416,269","$2,117,736,528","$2,436,029,588","$2,556,247,156"
Central African Republic,"$2,382,618,615","$2,516,498,412","$2,326,720,902","$2,221,301,351","$2,220,979,145"
Cabo Verde,"$2,314,816,792","$2,091,741,774","$1,878,277,311","$2,266,752,197","$2,205,099,509"
Gambia,"$2,273,060,863","$2,038,414,974","$1,812,170,878","$1,813,609,679","$1,670,671,340"
St. Lucia,"$2,065,027,556","$1,691,259,259","$1,516,000,000","$2,094,185,185","$2,057,074,074"
Antigua And Barbuda,"$1,757,603,704","$1,560,518,519","$1,416,348,148","$1,675,403,704","$1,604,770,370"
Guinea-Bissau,"$1,633,559,092","$1,638,517,607","$1,431,758,232","$1,439,638,411","$1,504,630,234"
Solomon Islands,"$1,595,710,784","$1,580,303,517","$1,536,145,831","$1,619,154,958","$1,615,478,421"
Seychelles,"$1,588,406,479","$1,286,687,873","$1,183,515,398","$1,645,090,567","$1,587,813,245"
Sint Maarten (Dutch Part),"$1,571,564,246","$1,384,636,872","$1,240,279,330","$1,459,776,536","$1,185,474,860"
Grenada,"$1,256,413,185","$1,122,800,000","$1,043,411,111","$1,213,485,185","$1,166,514,815"
Comoros,"$1,242,519,407","$1,296,089,479","$1,225,039,196","$1,195,019,531","$1,188,797,450"
Turks And Caicos Islands,"$1,138,808,881","$1,044,778,790","$924,583,000","$1,197,415,000","$1,113,178,000"
